Lead ID,Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes,Email 1 Valid,Email 2 Valid,Email,Email Domain,Phone 1 Valid,Phone 2 Valid,Phone,Website Domain,Company Lead Count,Data Completeness Score,Lead Quality,AI Industry,AI Company Type,AI Summary
1,1,862d63fBE445C3B,Antonio Savage,Cameron,Price,"Dean, Daniels and Charles",9998268118,19427046437 ext 07516,jermaine42@bush.info,howardtamara@malone-zamora.com,moody-colon.com,Facebook Ads,Qualified,Be mind picture to.,True,True,jermaine42@bush.info,bush.info,True,False,9998268118,moody-colon.com,1,100.0,High,Unknown,Unknown,There is insufficient information available regarding the company's industry or business type.
2,2,B1B9fa4B9A41f10,Alexander Mccall,Phyllis,Wade,"Woodward, Everett and Doyle",8218576254,5835180548,dorothy36@shannon-dunn.info,qrangel@maxwell.org,nash.com,Other,Closed Lost,Affect activity everybody cause sense close anything.,True,True,dorothy36@shannon-dunn.info,shannon-dunn.info,True,True,8218576254,nash.com,1,100.0,High,Unknown,Unknown,"The provided information for Woodward, Everett and Doyle does not contain sufficient details to determine their industry or business operations."
3,3,1c2a1d1Ef8dDEFa,Nancy Grant,Matthew,Villegas,Mcfarland-Moore,0014495239318 ext 9353,6525052127,gregorybrenda@forbes.biz,fitzpatrickcole@jordan-massey.com,bradley-stanley.com,Organic Search (Seo),Closed Lost,Strong cost together thought.,True,True,gregorybrenda@forbes.biz,forbes.biz,False,True,0014495239318 ext 9353,bradley-stanley.com,1,100.0,Medium,Unknown,Unknown,There is insufficient information provided to determine the industry or company type for Mcfarland-Moore.
4,4,aEAFcec4C129DDE,Yesenia Short,Haley,Chapman,"Potts, Jimenez and Sweeney",4727442240 ext 57147,2413900856 ext 043,shelley22@villarreal.com,pvelazquez@thornton.com,day-hawkins.org,Chatbot,Proposal Sent,Treatment opportunity drop.,True,True,shelley22@villarreal.com,villarreal.com,True,True,4727442240 ext 57147,day-hawkins.org,1,100.0,High,Unknown,Unknown,"Potts, Jimenez and Sweeney is a business entity currently in the proposal stage of a deal involving a treatment opportunity."
5,5,6eA1Ab9d8d03966,Joan Meyers,Priscilla,Tran,Meza-Bolton,3645691151 ext 738,17884881036,kgutierrez@lyons.com,zlogan@andrade.com,nichols-hanson.com,Linkedin Outreach,Proposal Sent,Local throw as soldier finally house always.,True,True,kgutierrez@lyons.com,lyons.com,True,True,3645691151 ext 738,nichols-hanson.com,1,100.0,High,Unknown,Unknown,There is insufficient evidence provided to determine the industry or company type of Meza-Bolton.
6,6,76da550015f55AA,Hector Yates,Javier,King,Riddle Inc,4323860345 ext 1453,15709493166 ext 5753,klarsen@mcneil.com,annette98@reese.biz,paul.com,Facebook Ads,On Hold,Blue available central.,True,True,klarsen@mcneil.com,mcneil.com,True,True,4323860345 ext 1453,paul.com,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type of Riddle Inc based on the provided data.
7,7,c794AD13aafFCb4,Glen Horne,Sophia,Mcmahon,Frederick-Pineda,0012277393685 ext 6276,9046966905 ext 10762,biancagallegos@ryan.info,sallyhawkins@pope-blackwell.org,shepherd-glover.com,Direct Traffic,Proposal Sent,Condition figure view.,True,True,biancagallegos@ryan.info,ryan.info,False,True,0012277393685 ext 6276,shepherd-glover.com,1,100.0,Medium,Unknown,Unknown,"There is insufficient information to determine the industry, company type, or business operations for Frederick-Pineda based on the provided data."
8,8,DAa70C83DB217ef,Oscar Ware,Steven,Riley,Cardenas and Sons,6213595298,6419651272 ext 87983,hillandre@hensley.org,velazquezellen@richards-brady.com,middleton.org,Purchased List,Qualified,Pick fill these research.,True,True,hillandre@hensley.org,hensley.org,True,True,6213595298,middleton.org,1,100.0,High,Unknown,Unknown,There is insufficient information provided to determine the industry or company type for Cardenas and Sons.
9,9,A7d8ABCB42772E9,Cory Garza,Suzanne,Suarez,Roth and Sons,0014893188021 ext 03052,9156009701 ext 379,masonjoann@johnson.com,zmadden@guzman-hodges.com,burgess.org,Webinars,Re-Engagement,Raise ability star light may.,True,True,masonjoann@johnson.com,johnson.com,False,True,0014893188021 ext 03052,burgess.org,1,100.0,Medium,Unknown,Unknown,"The company Roth and Sons is identified through webinar lead sources, though no specific information is available regarding their industry or operational activities."
10,10,2730Ed0d5fAC1c9,Cristian Brady,Jerry,Parker,English Ltd,7866949727,7258439297 ext 2704,robin37@reed.net,jacobcuevas@klein.com,ibarra.biz,Direct Traffic,Contacted,Animal effect suffer international over security.,True,True,robin37@reed.net,reed.net,True,True,7866949727,ibarra.biz,1,100.0,High,Unknown,Unknown,English Ltd is a business contact with insufficient information available to determine its industry or company type.
